Optional Graduation Year,Optional Type of party ,Optional Greek Life,Optional Sports,Optional Arts,Optional Honor Societies,Optional Majors/ Minors,Optional Organzations/Clubs,Optional Languages,Optional Gender,Optional Skills,Optional Ethnic & Cultural Groups,Optional Student Governance
2019,Invite Only,Alpha Sigma Tau Sorority,Baseball ,Acabellas,Alpha Kappa Delta (Sociology Honors),Accounting Economics,Art Club,1. English only – 229.7 million,….............,Ultimate DJ,Asian Community Coalition,All College Council
2020,All parties on Campus,"Alpha Kappa Alpha Sorority, Inc. ",Basketball (M) ,Alternative Film Club,Alpha Lambda Delta (First Year Honors),Acting,History Club,2. Spanish – 40.5 million,Female,Dancing Machine,Black Student Union,Commuter Student Association
2021,Game Box,Alpha Gamma Tau Fraternity,Basketball (W) ,College Concert Choir,Alpha Psi Omega (Theatre Dramatic Arts),Africana Studies,McDaniel Mathematics Club,3. Chinese – 3.4 million,Male,N/A,El Club Español,Inter-Greek Council
2022,WorkOut Box,Alpha Sigma Phi Fraternity,Cross Country (M) ,Danger Sauce,Beta Alpha Chi (Music,American History,Philosophy Club,4. Tagalog – 1.7 million,Trans,N/A,Eye to Eye (Deaf Awareness),Inter-Fraternity Council
2023,Sport Box,Lambda Chi Alpha Fraternity,Cross Country (W) ,Ja Dada 1st,Beta Beta Beta (Biology),American Sign Language ,Photography Club,5. Vietnamese – 1.5 million,N/A,N/A,German Club,Panhellenic Council
2024,"""College"" Box","Omega Psi Phi Fraternity, Inc. ",Field Hockey ,Jazz Band,Eikon Texnh E’-Ete (Art History),Arabic and Middle Eastern Studies,Psychology Club,6. Arabic – 1.2 million,N/A,N/A,Hispano-Latino Alliance,Student Alumni Council
2025,Charity Box,Phi Alpha Mu Sorority,Football ,Late Night Playback Troupe,Gamma Sigma Alpha (Greek Leadership),Art,Ranger Platoon,7. French – 1.2 million,N/A,N/A,International Club,Student Athlete Advisory Committee
2026,N/A,Phi Delta Theta Fraternity ,Golf (M) ,Madrigal Singers,Gamma Sigma Epsilon (Chemistry),Art History,Religious Studies,8. Korean – 1.1 million,N/A,N/A,Le Cercle Français,Student Government Association
2027,N/A,Phi Kappa Sigma Fraternity,Golf (W) ,McDaniel College Gospel Choir,Kappa Delta Pi (Education),Asian Studies,Social Work Club,9. Russian – 0.91 million,N/A,N/A,Mano En Mano,N/A
2028,N/A,Phi Mu Women's Fraternity,Lacrosse (M) ,N/A,Kappa Mu Epsilon (Mathematics),Athletic Training,Sociology Club,10. German – 0.91 million,N/A,N/A,Multicultural Student Association,N/A
2029,N/A,Sigma Alpha Epsilon Fraternity,Lacrosse (W) ,N/A,Lambda Iota Tau (Literature),Biology,Spoken Wordz,N/A,N/A,N/A,Palabras to Words,N/A
2030,N/A,"Zeta Phi Beta Sorority, Inc.",Soccer (M),N/A,Lambda Pi Eta (Speech Communication),Business Administration,Student Academic Support Services,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,Soccer (W) ,N/A,Omicron Delta Epsilon (Economics),Business German,Mentoring Groups,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,Softball ,N/A,Omicron Delta Kappa (Leadership),Chemistry,Best Buddies,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,Swimming (M) ,N/A,Order of Omega (Greek Leadership),Cinema,McDaniel Unity,N/A,N/A,,N/A,N/A
N/A,N/A,N/A,Swimming (W) ,N/A,Phi Alpha (Social Work Honors),Classical Civilizations,Political & Public Interest,N/A,N/A,,N/A,N/A
N/A,N/A,N/A,Tennis (M) ,N/A,Phi Alpha Delta (Pre-Law),Communication,Active Minds @ McDaniel College,N/A,,,N/A,N/A
N/A,N/A,N/A,Tennis (W) ,N/A,Phi Alpha Theta (History),Computer Science,Allied Health Club,N/A,,,N/A,N/A
N/A,,N/A,Indoor Track & Field (M) ,N/A,Phi Beta Kappa,Criminal Justice - Sociology,"Allies (Gay, Lesbian, Bi-Sexual & Transgender Club)",N/A,,,N/A,N/A
N/A,,N/A,Indoor Track & Field (W) ,N/A,Phi Lambda Upsilon (Chemistry),Cross-Cultural Studies,Amnesty International,N/A,,,N/A,N/A
N/A,,N/A,Outdoor Track & Field (M) ,N/A,Phi Sigma Iota (Foreign Languages),Economics,Cheese Club,N/A,,,N/A,N/A
N/A,,N/A,Outdoor Track & Field (W) ,,Phi Sigma Tau (Philosophy),Education (PK-12),Cocktales,N/A,,,N/A,N/A
N/A,,N/A,Volleyball ,,Pi Sigma Alpha (Political Science),English,College Democrats,N/A,,,N/A,N/A
,,,Wrestling,,Pi Gamma Mu (Social Science),Environmental Studies,College Libertarians,N/A,,,N/A,N/A
,,,N/A,,Psi Chi (Psychology),European History,College Republicans,N/A,,,N/A,N/A
,,,N/A,,Sigma Pi Sigma (Physics),Exercise Chemistry,Environmental Action Club,N/A,,,N/A,N/A
,,,N/A,,Society for Collegiate Journalists,Five-Year B.A./M.S. Programs,Food For Life,N/A,,,N/A,N/A
,,,N/A,,Trumpeters (Leadership),Forensic Science,Free Thinkers Union at McDaniel,N/A,,,N/A,N/A
,,,N/A,,N/A,French,Gerontology Club,N/A,,,N/A,N/A
,,,N/A,,N/A,Geography,Harvard Model United Nations,N/A,,,N/A,
,,,N/A,,N/A,German,International Relations,,,,N/A,
,,,N/A,,N/A,Gerontology,Justice League,,,,N/A,
,,,N/A,,N/A,Graphic Design,Maryland Student Legislature Club,,,,,
,,,N/A,,N/A,Human Services Management,McDaniel MSTA State Education Association,,,,,
,,,N/A,,N/A,History,Peace Club,,,,,
,,,N/A,,N/A,International Studies,Social Work Action Team,,,,,
,,,,,N/A,Journalism and the New Media,Sophisticated Ladies,,,,,
,,,,,N/A,Kinesiology,Women’s Issues Group,,,,,
,,,,,N/A,Latin,Religious Groups,,,,,
,,,,,N/A,Latino and Latin American Studies,Baha’i Club,,,,,
,,,,,N/A,Mathematics,Catholic Campus Ministries,,,,,
,,,,,N/A,Military Science,InterVarsity Christian Fellowship,,,,,
,,,,,N/A,Molecular Biology,Jewish Student Union,,,,,
,,,,,N/A,Music,Lutheran Campus Ministry,,,,,
,,,,,N/A,Music Education,Unitarian Universalists and Friends,,,,,
,,,,,N/A,Philosophy,Service Groups,,,,,
,,,,,N/A,Physics,Alpha Phi Omega,,,,,
,,,,,N/A,Political Science,Canine Companions,,,,,
,,,,,N/A,American Politics and Law,Circle K,,,,,
,,,,,, International Studies,Gamma Sigma Sigma,,,,,
,,,,,,Pre-professional studies: Health Professional,Heroes Helping Hopkin,,,,,
,,,,,,Pre-professional studies: Pre-Law,Relay For Life,,,,,
,,,,,,Psychology,Up ‘Til Dawn Club,,,,,
,,,,,,Religious Studies,Sororities,,,,,
,,,,,,Social Work,Phi Alpha Mu,,,,,
,,,,,,Sociology,Phi Mu,,,,,
,,,,,,Statistics,Phi Sigma Sigma,,,,,
,,,,,,Spanish,Sports & Recreation,,,,,
,,,,,,Sports Coaching,Cheering Squad,,,,,
,,,,,,Sports Management,Chess Club,,,,,
,,,,,,Studio Art,Flying Disc United Peoples,,,,,
,,,,,,Theatre Arts,Juggling Club,,,,,
,,,,,,Urban and Community Studies,McDaniel Club Softball,,,,,
,,,,,,Women's Studies,McDaniel Dance Company,,,,,
,,,,,,Writing,McDaniel Mixed Martial Arts,,,,,
,,,,,,N/A,Outdoors Club,,,,,
,,,,,,N/A,Pom Dance Team,,,,,
,,,,,,N/A,Rugby Club,,,,,
,,,,,,N/A,Ski/Snowboard,,,,,
,,,,,,N/A,Table Tennis Club,,,,,
,,,,,,N/A,Ultimate Frisbee Club,,,,,
,,,,,,N/A,Affinity Group,,,,,
,,,,,,N/A,Asian Community Coalition,,,,,
,,,,,,N/A,Canine Companions for Independence ,,,,,
,,,,,,N/A,Food For Life,,,,,
,,,,,,N/A,Gerontology Club,,,,,
,,,,,,N/A,Intervarsity Christian Fellowship,,,,,
,,,,,,,Lorax,,,,,
,,,,,,,Maryland State Educators Association,,,,,
,,,,,,,McDaniel Unity,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,N/A,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
